Serial Number,Topic Name,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level
1050,Average,"Find the arithmetic mean of 93, 43, and 65.",64.4,67.0,70.75,76.08,Option B: 67.0,Easy
1051,Time and Work,How many days will it take for A and B to finish a work together if A takes 3 days and B takes 2 days?,1.2,2.53,5.76,-1.06,Option A: 1.2,Medium
1052,Pipes and Cisterns,"If a tank is filled by a pipe in 10 hours and emptied by another in 2 hours, how long will it take to fill the tank of 38 liters when both pipes are open?",10.41,6.85,4.75,3.05,Option C: 4.75,Medium
1053,Percentage,Determine the value of 48% of 163.,77.08,78.24,85.01,83.18,Option B: 78.24,Easy
1054,Profit and Loss,A product costs 60 and is sold at a profit of 9%. What is the selling price?,62.6,68.44,65.4,73.35,Option C: 65.4,Hard
1055,Average,"Calculate the average value of 25, 51, and 48.",48.98,41.33,39.03,44.28,Option B: 41.33,Medium
1056,Average,"Find the arithmetic mean of 21, 27, and 25.",22.63,24.33,31.18,27.06,Option B: 24.33,Hard
1057,Pipes and Cisterns,A pipe fills a tank in 8 hours and another empties it in 1 hours. Calculate the time to fill the tank of 58 liters with both pipes open.,6.78,8.29,9.82,13.69,Option B: 8.29,Hard
1058,Time and Work,"Given A can do a work in 3 days and B in 4 days, find the total time they will take working together.",1.71,-0.19,7.31,4.2,Option A: 1.71,Hard
1059,Numbers,Calculate the total of 3 plus 15.,22,14,27,18,Option D: 18,Hard
1060,Percentage,Find 50% of 195.,101.17,105.04,97.5,94.39,Option C: 97.5,Hard
1061,Percentage,Calculate 39% of 137.,53.43,61.94,52.3,55.44,Option A: 53.43,Hard
1062,Numbers,Add 45 and 35. What do you get?,88,82,77,80,Option D: 80,Medium
1063,Pipes and Cisterns,"If a tank is filled by a pipe in 9 hours and emptied by another in 2 hours, how long will it take to fill the tank of 50 liters when both pipes are open?",5.68,8.31,7.14,11.24,Option C: 7.14,Medium
1064,Time and Work,"Given A can do a work in 4 days and B in 9 days, find the total time they will take working together.",0.11,2.77,4.61,8.72,Option B: 2.77,Medium
1065,Algebra,"If a = 3, b = 3, and x = 5, what is ax + b?",22,16,28,18,Option D: 18,Hard
1066,Algebra,"Find the result of a * x + b given a = 3, b = 7, x = 3.",16,17,13,23,Option A: 16,Medium
1067,Average,"Calculate the average value of 34, 17, and 28.",34.41,24.69,29.34,26.33,Option D: 26.33,Medium
1068,Ratio and Proportion,Calculate the value of B if A:B = 2:1 and A = 18.,9.0,14.5,6.17,11.72,Option A: 9.0,Hard
1069,Time and Work,"Given A can do a work in 10 days and B in 8 days, find the total time they will take working together.",2.2,6.96,4.44,8.96,Option C: 4.44,Medium
1070,Percentage,Find 24% of 56.,22.18,16.38,11.17,13.44,Option D: 13.44,Hard
1071,Average,"Calculate the average value of 17, 60, and 87.",63.47,54.67,51.2,57.76,Option B: 54.67,Hard
1072,Average,"The average of 56, 93, and 34 is:",56.31,70.33,61.0,63.33,Option C: 61.0,Medium
1073,Pipes and Cisterns,Find the time required to fill a tank of 33 liters if one pipe fills it in 4 hours and another empties it in 5 hours.,-35.94,-33.0,-30.69,-28.24,Option B: -33.0,Easy
1074,Numbers,Calculate the total of 3 plus 45.,53,54,44,48,Option D: 48,Easy
1075,"Time, Speed, Distance",Calculate the time taken to travel 109 km at a speed of 22 km/hr.,4.95,10.44,2.72,7.08,Option A: 4.95,Hard
1076,Numbers,Find the result when you add 36 and 22.,58,63,65,55,Option A: 58,Medium
1077,Pipes and Cisterns,Determine the filling time for a tank of 52 liters given a fill rate of 1 hours and an empty rate of 2 hours.,-52.0,-49.89,-54.71,-47.61,Option A: -52.0,Medium
1078,Numbers,6 added to 12 equals what?,13,18,26,22,Option B: 18,Medium
1079,Time and Work,How many days will it take for A and B to finish a work together if A takes 10 days and B takes 6 days?,2.21,5.74,8.33,3.75,Option D: 3.75,Hard
1080,"Time, Speed, Distance",168 km distance is covered at 19 km/hr. Determine the time taken.,8.84,13.47,11.32,6.17,Option A: 8.84,Easy
1081,Time and Work,How many days will it take for A and B to finish a work together if A takes 10 days and B takes 2 days?,3.07,1.67,-1.2,7.19,Option B: 1.67,Hard
1082,Numbers,What is the sum of 47 and 43?,91,99,89,90,Option D: 90,Easy
1083,Time and Work,How many days will it take for A and B to finish a work together if A takes 9 days and B takes 6 days?,5.22,3.6,1.58,8.7,Option B: 3.6,Easy
1084,Profit and Loss,What would be the selling price if the cost price is 54 and profit is 15%?,62.1,64.22,59.32,69.18,Option A: 62.1,Hard
1085,Pipes and Cisterns,Find the time required to fill a tank of 35 liters if one pipe fills it in 6 hours and another empties it in 2 hours.,14.32,8.75,6.07,10.89,Option B: 8.75,Medium
1086,Numbers,Add 4 and 46. What do you get?,53,50,56,45,Option B: 50,Hard
1087,Average,"The average of 34, 52, and 56 is:",43.69,48.38,56.48,47.33,Option D: 47.33,Hard
1088,Numbers,16 added to 45 equals what?,56,65,61,70,Option C: 61,Medium
1089,"Time, Speed, Distance",Calculate the time taken to travel 115 km at a speed of 15 km/hr.,6.48,9.39,7.67,12.52,Option C: 7.67,Hard
1090,Algebra,"What does ax + b equal if a = 8, b = 3, x = 5?",48,42,51,43,Option D: 43,Easy
1091,Pipes and Cisterns,"A pipe can fill a tank in 7 hours and another pipe can empty it in 1 hours. If both are open, how long will it take to fill the tank of 55 liters?",14.11,12.06,7.31,9.17,Option D: 9.17,Hard
1092,Percentage,Determine the value of 20% of 114.,26.17,32.71,18.94,22.8,Option D: 22.8,Easy
1093,"Time, Speed, Distance",Find the travel time for 83 km at 17 km/hr.,9.42,7.58,1.91,4.88,Option D: 4.88,Hard
1094,Time and Work,"If A can complete a work in 3 days and B can complete it in 8 days, how many days will they take to complete the work together?",0.93,5.0,8.03,2.18,Option D: 2.18,Hard
1095,Profit and Loss,"Given a cost price of 99 and a profit percentage of 11%, determine the selling price.",113.4,116.28,109.89,105.65,Option C: 109.89,Easy
1096,Percentage,Find 22% of 198.,40.68,43.56,50.3,45.63,Option B: 43.56,Medium
1097,"Time, Speed, Distance",Calculate the time taken to travel 82 km at a speed of 23 km/hr.,0.91,4.96,3.57,7.77,Option C: 3.57,Easy
1098,Ratio and Proportion,"If the ratio of A to B is 5:2 and A is 13, what is B?",5.2,9.78,8.1,3.98,Option A: 5.2,Easy
1099,Average,"Calculate the average value of 34, 83, and 54.",55.52,57.0,61.71,64.12,Option B: 57.0,Easy
1100,Percentage,Determine the value of 12% of 54.,11.27,2.4,13.52,6.48,Option D: 6.48,Medium
1101,"Time, Speed, Distance",A vehicle covers 152 km at 20 km/hr. How much time does it take?,5.25,7.6,13.15,9.0,Option B: 7.6,Hard
1102,Algebra,"Calculate the value of ax + b for a = 2, b = 3, and x = 8.",15,25,24,19,Option D: 19,Easy
1103,Time and Work,Calculate the time for A and B to complete a work together if A takes 8 days and B takes 1 days individually.,-1.45,2.98,0.89,5.7,Option C: 0.89,Medium
1104,Profit and Loss,What would be the selling price if the cost price is 100 and profit is 17%?,113.19,119.96,126.76,117.0,Option D: 117.0,Medium
1105,Time and Work,Calculate the time for A and B to complete a work together if A takes 8 days and B takes 3 days individually.,0.02,7.28,3.39,2.18,Option D: 2.18,Easy
1106,Ratio and Proportion,A is 12 and the ratio of A to B is 1:4. What is B?,53.28,45.12,49.66,48.0,Option D: 48.0,Medium
1107,Ratio and Proportion,"If A:B = 1:3 and A is 46, determine the value of B.",135.85,142.27,139.65,138.0,Option D: 138.0,Medium
1108,Percentage,22% of 54 is what?,18.1,13.86,7.59,11.88,Option D: 11.88,Easy
1109,Time and Work,Calculate the time for A and B to complete a work together if A takes 4 days and B takes 5 days individually.,3.66,6.92,0.87,2.22,Option D: 2.22,Easy
1110,Algebra,"If a = 6, b = 1, and x = 9, what is ax + b?",55,50,64,58,Option A: 55,Easy
1111,Pipes and Cisterns,Determine the filling time for a tank of 60 liters given a fill rate of 1 hours and an empty rate of 1 hours.,-1.23,0,2.78,4.22,Option B: 0,Easy
1112,Ratio and Proportion,Calculate the value of B if A:B = 5:4 and A = 42.,35.5,39.47,33.6,31.45,Option C: 33.6,Hard
1113,"Time, Speed, Distance",91 km distance is covered at 20 km/hr. Determine the time taken.,2.8,8.89,4.55,5.94,Option C: 4.55,Hard
1114,Algebra,"If a = 1, b = 5, and x = 1, what is ax + b?",16,9,6,3,Option C: 6,Hard
1115,Percentage,Calculate 36% of 184.,76.1,61.78,69.21,66.24,Option D: 66.24,Hard
1116,Ratio and Proportion,A is 25 and the ratio of A to B is 1:3. What is B?,75.0,73.52,80.34,76.99,Option A: 75.0,Medium
1117,Pipes and Cisterns,Determine the filling time for a tank of 45 liters given a fill rate of 9 hours and an empty rate of 3 hours.,12.39,4.62,9.68,7.5,Option D: 7.5,Medium
1118,"Time, Speed, Distance",A vehicle covers 100 km at 17 km/hr. How much time does it take?,5.88,10.7,4.64,7.6,Option A: 5.88,Hard
1119,"Time, Speed, Distance",Calculate the time taken to travel 78 km at a speed of 12 km/hr.,11.0,9.17,6.5,4.71,Option C: 6.5,Hard
1120,Percentage,Determine the value of 19% of 115.,17.68,29.7,26.09,21.85,Option D: 21.85,Easy
1121,Pipes and Cisterns,Find the time required to fill a tank of 33 liters if one pipe fills it in 9 hours and another empties it in 3 hours.,5.5,10.2,2.84,6.66,Option A: 5.5,Easy
1122,Percentage,11% of 56 is what?,14.96,6.16,11.11,4.73,Option B: 6.16,Hard
1123,Time and Work,Calculate the time for A and B to complete a work together if A takes 7 days and B takes 8 days individually.,8.33,6.73,3.73,2.55,Option C: 3.73,Easy
1124,Pipes and Cisterns,A pipe fills a tank in 6 hours and another empties it in 5 hours. Calculate the time to fill the tank of 42 liters with both pipes open.,47.67,42.0,43.22,39.68,Option B: 42.0,Hard
1125,Pipes and Cisterns,A pipe fills a tank in 7 hours and another empties it in 2 hours. Calculate the time to fill the tank of 46 liters with both pipes open.,13.5,7.6,9.2,10.7,Option C: 9.2,Hard
1126,Time and Work,How many days will it take for A and B to finish a work together if A takes 7 days and B takes 9 days?,9.93,3.94,1.69,5.67,Option B: 3.94,Medium
1127,Percentage,What is 5% of 99?,4.95,12.54,6.43,0.21,Option A: 4.95,Hard
1128,"Time, Speed, Distance","If a vehicle travels 77 km at a speed of 27 km/hr, how long will it take to cover the distance?",7.86,2.85,3.92,0.51,Option B: 2.85,Medium
1129,Algebra,"Given a = 5, b = 2, and x = 1, compute ax + b.",7,11,3,17,Option A: 7,Medium
1130,Time and Work,"If A can complete a work in 10 days and B can complete it in 6 days, how many days will they take to complete the work together?",6.67,1.6,3.75,8.9,Option C: 3.75,Easy
1131,Percentage,Determine the value of 22% of 139.,30.58,34.3,36.72,27.07,Option A: 30.58,Medium
1132,Average,"Calculate the average value of 99, 31, and 81.",77.91,66.44,71.62,70.33,Option D: 70.33,Medium
1133,Percentage,What is 11% of 166?,15.38,18.26,24.48,22.82,Option B: 18.26,Easy
1134,Time and Work,"Given A can do a work in 9 days and B in 2 days, find the total time they will take working together.",3.3,-0.23,1.64,5.78,Option C: 1.64,Medium
1135,Algebra,"Find the result of a * x + b given a = 9, b = 1, x = 4.",35,37,39,45,Option B: 37,Medium
1136,Algebra,"What does ax + b equal if a = 9, b = 10, x = 8?",90,77,85,82,Option D: 82,Easy
1137,Numbers,32 added to 30 equals what?,67,72,62,59,Option C: 62,Medium
1138,Numbers,What is the sum of 22 and 31?,52,59,53,56,Option C: 53,Easy
1139,Average,"Find the arithmetic mean of 29, 76, and 94.",75.11,66.33,69.97,62.51,Option B: 66.33,Hard
1140,Time and Work,"Given A can do a work in 7 days and B in 2 days, find the total time they will take working together.",-1.43,7.13,1.56,4.05,Option C: 1.56,Easy
1141,Pipes and Cisterns,"A pipe can fill a tank in 7 hours and another pipe can empty it in 5 hours. If both are open, how long will it take to fill the tank of 43 liters?",20.41,21.5,26.89,22.66,Option B: 21.5,Medium
1142,Numbers,Add 50 and 31. What do you get?,81,86,91,79,Option A: 81,Hard
1143,Ratio and Proportion,"If A:B = 1:3 and A is 36, determine the value of B.",109.22,113.04,106.8,108.0,Option D: 108.0,Easy
1144,Ratio and Proportion,"If A:B = 2:2 and A is 45, determine the value of B.",50.89,47.59,42.75,45.0,Option D: 45.0,Hard
1145,"Time, Speed, Distance",Calculate the time taken to travel 117 km at a speed of 11 km/hr.,8.99,10.64,11.96,15.48,Option B: 10.64,Medium
1146,Pipes and Cisterns,Find the time required to fill a tank of 32 liters if one pipe fills it in 8 hours and another empties it in 2 hours.,7.05,10.22,5.33,2.46,Option C: 5.33,Hard
1147,Time and Work,How many days will it take for A and B to finish a work together if A takes 10 days and B takes 1 days?,1.94,-1.19,5.45,0.91,Option D: 0.91,Medium
1148,Numbers,Find the result when you add 42 and 48.,93,97,88,90,Option D: 90,Easy
1149,Algebra,"If a = 6, b = 2, and x = 2, what is ax + b?",19,14,9,24,Option B: 14,Hard
1150,Average,"Calculate the average value of 53, 11, and 11.",21.21,25.0,29.32,34.93,Option B: 25.0,Easy
1151,Numbers,What is the sum of 10 and 43?,60,58,48,53,Option D: 53,Hard
1152,Time and Work,"If A can complete a work in 6 days and B can complete it in 2 days, how many days will they take to complete the work together?",6.18,2.59,1.5,-0.93,Option C: 1.5,Medium
1153,Algebra,"Calculate the value of ax + b for a = 2, b = 3, and x = 4.",11,6,19,14,Option A: 11,Medium
1154,Percentage,Determine the value of 35% of 73.,29.72,25.55,35.43,22.94,Option B: 25.55,Medium
1155,Numbers,Calculate the total of 45 plus 16.,69,65,57,61,Option D: 61,Easy
1156,Time and Work,"If A can complete a work in 9 days and B can complete it in 4 days, how many days will they take to complete the work together?",7.43,1.56,2.77,4.99,Option C: 2.77,Hard
1157,Average,"What is the mean of the numbers 17, 58, and 29?",37.66,42.66,34.67,31.7,Option C: 34.67,Easy
1158,Numbers,Add 48 and 27. What do you get?,80,83,70,75,Option D: 75,Hard
1159,Average,"The average of 32, 64, and 52 is:",45.6,52.84,56.2,49.33,Option D: 49.33,Medium
1160,Ratio and Proportion,A is 37 and the ratio of A to B is 2:3. What is B?,58.07,60.89,52.87,55.5,Option D: 55.5,Hard
1161,Profit and Loss,"If the cost price is 78 and the profit percentage is 14%, calculate the selling price.",85.34,98.85,88.92,92.39,Option C: 88.92,Medium
1162,Profit and Loss,Find the selling price of a product with a cost price of 86 and a 14% profit.,102.79,98.04,95.39,104.64,Option B: 98.04,Medium
1163,Profit and Loss,What would be the selling price if the cost price is 99 and profit is 17%?,115.83,123.97,120.72,112.2,Option A: 115.83,Easy
1164,Algebra,"Calculate the value of ax + b for a = 10, b = 6, and x = 6.",69,73,66,61,Option C: 66,Medium
1165,Numbers,23 added to 20 equals what?,42,51,43,48,Option C: 43,Easy
1166,Percentage,What is 39% of 50?,20.8,17.48,19.5,29.2,Option C: 19.5,Medium
1167,Ratio and Proportion,A is 49 and the ratio of A to B is 1:2. What is B?,103.66,98.0,99.14,95.89,Option B: 98.0,Hard
1168,Average,"Calculate the average value of 97, 92, and 16.",68.33,71.69,63.79,74.5,Option A: 68.33,Hard
1169,Time and Work,"Given A can do a work in 6 days and B in 7 days, find the total time they will take working together.",1.88,4.98,3.23,8.3,Option C: 3.23,Medium
1170,Profit and Loss,A product costs 55 and is sold at a profit of 5%. What is the selling price?,64.16,57.75,62.27,53.75,Option B: 57.75,Hard
1171,"Time, Speed, Distance",136 km distance is covered at 19 km/hr. Determine the time taken.,7.16,12.45,8.69,5.6,Option A: 7.16,Hard
1172,Ratio and Proportion,Find B given that the ratio of A to B is 2:2 and A equals 14.,16.7,14.0,19.0,11.85,Option B: 14.0,Hard
1173,Percentage,Calculate 44% of 190.,80.13,87.92,83.6,91.7,Option C: 83.6,Medium
1174,Ratio and Proportion,"If the ratio of A to B is 4:3 and A is 37, what is B?",25.95,30.68,33.45,27.75,Option D: 27.75,Medium
1175,Average,"Find the arithmetic mean of 13, 91, and 57.",53.67,60.1,56.57,52.57,Option A: 53.67,Medium
1176,Time and Work,How many days will it take for A and B to finish a work together if A takes 2 days and B takes 1 days?,-0.83,0.67,4.97,2.59,Option B: 0.67,Hard
1177,Pipes and Cisterns,Determine the filling time for a tank of 51 liters given a fill rate of 9 hours and an empty rate of 1 hours.,6.38,8.2,11.95,4.55,Option A: 6.38,Medium
1178,"Time, Speed, Distance",Find the travel time for 52 km at 13 km/hr.,5.07,2.07,4.0,8.53,Option C: 4.0,Easy
1179,Average,"The average of 41, 17, and 13 is:",23.67,19.39,31.79,25.34,Option A: 23.67,Easy
1180,Pipes and Cisterns,A pipe fills a tank in 10 hours and another empties it in 2 hours. Calculate the time to fill the tank of 43 liters with both pipes open.,3.39,11.01,7.53,5.38,Option D: 5.38,Hard
1181,Numbers,Find the result when you add 26 and 19.,45,47,54,42,Option A: 45,Hard
1182,Ratio and Proportion,A is 29 and the ratio of A to B is 2:4. What is B?,58.0,63.73,55.93,60.94,Option A: 58.0,Medium
1183,Time and Work,"If A can complete a work in 9 days and B can complete it in 9 days, how many days will they take to complete the work together?",5.55,9.94,2.91,4.5,Option D: 4.5,Easy
1184,Percentage,Find 34% of 54.,19.47,27.07,14.05,18.36,Option D: 18.36,Easy
1185,"Time, Speed, Distance",A vehicle covers 155 km at 11 km/hr. How much time does it take?,19.29,13.07,14.09,15.51,Option C: 14.09,Easy
1186,Average,"The average of 7, 12, and 13 is:",16.7,14.31,10.67,9.15,Option C: 10.67,Hard
1187,Time and Work,"A takes 10 days to finish a work and B takes 6 days. Working together, how many days will they take?",1.24,8.39,4.99,3.75,Option D: 3.75,Easy
1188,Percentage,What is 9% of 50?,0.74,11.15,6.84,4.5,Option D: 4.5,Easy
1189,Average,"Find the arithmetic mean of 30, 11, and 1.",14.0,12.8,18.26,21.19,Option A: 14.0,Medium
1190,Numbers,What is the sum of 22 and 4?,30,24,32,26,Option D: 26,Medium
1191,Ratio and Proportion,A is 12 and the ratio of A to B is 5:1. What is B?,2.4,7.67,1.22,3.42,Option A: 2.4,Medium
1192,Percentage,What is 25% of 108?,27.0,29.74,25.46,35.53,Option A: 27.0,Easy
1193,Profit and Loss,A product costs 51 and is sold at a profit of 20%. What is the selling price?,61.2,58.36,70.52,65.5,Option A: 61.2,Easy
1194,Numbers,What is the sum of 23 and 37?,69,60,65,58,Option B: 60,Medium
1195,Percentage,Calculate 29% of 51.,24.15,17.19,14.79,13.39,Option C: 14.79,Hard
1196,Percentage,Find 17% of 111.,18.87,21.99,14.02,28.24,Option A: 18.87,Easy
1197,Time and Work,"If A can complete a work in 5 days and B can complete it in 4 days, how many days will they take to complete the work together?",0.19,2.22,4.4,6.22,Option B: 2.22,Easy
1198,Pipes and Cisterns,"A pipe can fill a tank in 9 hours and another pipe can empty it in 3 hours. If both are open, how long will it take to fill the tank of 30 liters?",5.0,3.62,9.95,7.29,Option A: 5.0,Easy
1199,Percentage,Determine the value of 24% of 122.,25.52,38.27,30.49,29.28,Option D: 29.28,Medium
1200,Percentage,Calculate 49% of 119.,58.31,66.35,56.9,61.43,Option A: 58.31,Hard
1201,Time and Work,How many days will it take for A and B to finish a work together if A takes 9 days and B takes 5 days?,7.42,4.41,3.21,2.08,Option C: 3.21,Easy
1202,Average,"What is the mean of the numbers 42, 85, and 50?",56.04,59.0,63.79,65.2,Option B: 59.0,Medium
1203,Percentage,What is 45% of 80?,36.0,43.54,38.17,34.89,Option A: 36.0,Easy
1204,Time and Work,Calculate the time for A and B to complete a work together if A takes 1 days and B takes 4 days individually.,2.34,-0.8,0.8,5.07,Option C: 0.8,Medium
1205,"Time, Speed, Distance","If a vehicle travels 161 km at a speed of 10 km/hr, how long will it take to cover the distance?",18.93,20.46,16.1,14.69,Option C: 16.1,Easy
1206,Ratio and Proportion,Find B given that the ratio of A to B is 4:5 and A equals 20.,22.43,25.0,30.71,27.22,Option B: 25.0,Medium
1207,Ratio and Proportion,Find B given that the ratio of A to B is 1:4 and A equals 27.,113.64,110.1,108.0,106.73,Option C: 108.0,Hard
1208,Average,"The average of 40, 1, and 6 is:",17.33,15.67,22.69,11.19,Option B: 15.67,Easy
1209,"Time, Speed, Distance","If a vehicle travels 86 km at a speed of 29 km/hr, how long will it take to cover the distance?",0.96,2.97,8.44,5.6,Option B: 2.97,Hard
1210,Profit and Loss,"Given a cost price of 65 and a profit percentage of 17%, determine the selling price.",73.43,85.64,77.91,76.05,Option D: 76.05,Medium
1211,Percentage,Find 27% of 163.,53.85,44.01,40.13,48.33,Option B: 44.01,Easy
1212,Average,"Find the arithmetic mean of 56, 18, and 6.",29.9,26.67,33.79,24.11,Option B: 26.67,Easy
1213,Ratio and Proportion,Find B given that the ratio of A to B is 3:4 and A equals 48.,69.67,66.17,64.0,61.58,Option C: 64.0,Medium
1214,Ratio and Proportion,"If the ratio of A to B is 5:2 and A is 37, what is B?",19.29,13.5,14.8,17.78,Option C: 14.8,Hard
1215,Time and Work,"A takes 5 days to finish a work and B takes 9 days. Working together, how many days will they take?",1.66,5.53,8.1,3.21,Option D: 3.21,Hard
1216,Algebra,"If a = 4, b = 1, and x = 10, what is ax + b?",43,41,49,37,Option B: 41,Easy
1217,Ratio and Proportion,A is 14 and the ratio of A to B is 1:3. What is B?,42.0,39.8,47.1,43.96,Option A: 42.0,Easy
1218,Time and Work,"A takes 10 days to finish a work and B takes 1 days. Working together, how many days will they take?",2.79,5.55,-1.58,0.91,Option D: 0.91,Medium
1219,Average,"The average of 73, 8, and 27 is:",38.47,42.55,36.0,33.62,Option C: 36.0,Hard
1220,Ratio and Proportion,A is 34 and the ratio of A to B is 1:1. What is B?,35.02,34.0,39.78,31.6,Option B: 34.0,Hard
1221,Time and Work,"A takes 9 days to finish a work and B takes 5 days. Working together, how many days will they take?",5.57,3.21,7.62,1.4,Option B: 3.21,Medium
1222,Average,"43, 92, and 83 have an average of:",82.01,72.67,70.89,74.27,Option B: 72.67,Hard
1223,Pipes and Cisterns,Find the time required to fill a tank of 42 liters if one pipe fills it in 9 hours and another empties it in 2 hours.,11.3,6.0,4.36,8.22,Option B: 6.0,Medium
1224,Profit and Loss,A product costs 58 and is sold at a profit of 18%. What is the selling price?,68.44,72.44,63.77,75.65,Option A: 68.44,Easy
1225,Profit and Loss,What would be the selling price if the cost price is 98 and profit is 5%?,99.89,106.15,111.95,102.9,Option D: 102.9,Easy
1226,Pipes and Cisterns,Find the time required to fill a tank of 44 liters if one pipe fills it in 10 hours and another empties it in 3 hours.,3.65,6.29,8.67,10.48,Option B: 6.29,Hard
1227,Average,"42, 54, and 31 have an average of:",37.63,46.88,42.33,48.67,Option C: 42.33,Hard
1228,Time and Work,How many days will it take for A and B to finish a work together if A takes 4 days and B takes 4 days?,-0.88,3.43,7.99,2.0,Option D: 2.0,Medium
1229,Percentage,Find 10% of 197.,16.2,21.33,19.7,28.28,Option C: 19.7,Medium
1230,Percentage,Find 23% of 164.,39.65,47.2,37.72,32.94,Option C: 37.72,Medium
1231,Profit and Loss,"Given a cost price of 75 and a profit percentage of 17%, determine the selling price.",92.22,87.75,84.81,96.5,Option B: 87.75,Easy
1232,Profit and Loss,A product costs 83 and is sold at a profit of 7%. What is the selling price?,86.95,88.81,97.95,92.82,Option B: 88.81,Medium
1233,Percentage,18% of 112 is what?,26.17,21.32,18.53,20.16,Option D: 20.16,Hard
1234,Pipes and Cisterns,A pipe fills a tank in 10 hours and another empties it in 4 hours. Calculate the time to fill the tank of 47 liters with both pipes open.,7.83,5.13,12.62,9.55,Option A: 7.83,Easy
1235,Pipes and Cisterns,"A pipe can fill a tank in 8 hours and another pipe can empty it in 4 hours. If both are open, how long will it take to fill the tank of 59 liters?",14.75,17.11,20.69,11.77,Option A: 14.75,Hard
1236,Time and Work,Calculate the time for A and B to complete a work together if A takes 6 days and B takes 10 days individually.,2.37,9.11,6.67,3.75,Option D: 3.75,Medium
1237,Percentage,What is 25% of 146?,33.71,45.58,36.5,41.41,Option C: 36.5,Medium
1238,Percentage,Find 7% of 181.,12.67,16.89,19.2,10.29,Option A: 12.67,Medium
1239,Average,"76, 75, and 61 have an average of:",78.56,70.67,74.15,69.53,Option B: 70.67,Easy
1240,Average,"The average of 30, 46, and 28 is:",41.83,32.76,34.67,36.0,Option C: 34.67,Medium
1241,Profit and Loss,Find the selling price of a product with a cost price of 93 and a 9% profit.,96.96,108.84,103.06,101.37,Option D: 101.37,Easy
1242,Ratio and Proportion,Find B given that the ratio of A to B is 4:4 and A equals 15.,20.99,15.0,16.33,13.29,Option B: 15.0,Medium
1243,Profit and Loss,"If the cost price is 55 and the profit percentage is 9%, calculate the selling price.",57.47,69.9,59.95,61.22,Option C: 59.95,Easy
1244,Pipes and Cisterns,A pipe fills a tank in 5 hours and another empties it in 4 hours. Calculate the time to fill the tank of 35 liters with both pipes open.,35.0,33.81,40.67,37.33,Option A: 35.0,Easy
1245,Algebra,"If a = 8, b = 4, and x = 5, what is ax + b?",43,44,46,53,Option B: 44,Medium
1246,Algebra,"What does ax + b equal if a = 4, b = 1, x = 4?",15,17,22,26,Option B: 17,Hard
1247,"Time, Speed, Distance",Calculate the time taken to travel 109 km at a speed of 12 km/hr.,11.8,14.15,6.79,9.08,Option D: 9.08,Medium
1248,Algebra,"If a = 6, b = 10, and x = 9, what is ax + b?",70,63,69,64,Option D: 64,Hard
1249,Ratio and Proportion,A is 11 and the ratio of A to B is 4:4. What is B?,11.0,8.71,16.22,12.47,Option A: 11.0,Hard
1250,Average,"23, 29, and 31 have an average of:",31.33,36.73,23.58,27.67,Option D: 27.67,Medium
1251,Numbers,Calculate the total of 4 plus 12.,15,16,22,17,Option B: 16,Medium
1252,"Time, Speed, Distance",A vehicle covers 195 km at 24 km/hr. How much time does it take?,5.17,8.12,9.97,13.43,Option B: 8.12,Medium
1253,Time and Work,"A takes 10 days to finish a work and B takes 3 days. Working together, how many days will they take?",4.03,2.31,1.0,7.83,Option B: 2.31,Medium
1254,Numbers,What is the sum of 29 and 2?,32,27,41,31,Option D: 31,Easy
1255,Time and Work,Calculate the time for A and B to complete a work together if A takes 3 days and B takes 2 days individually.,6.25,-1.0,1.2,2.95,Option C: 1.2,Easy
1256,Ratio and Proportion,Calculate the value of B if A:B = 4:3 and A = 38.,26.01,28.5,32.95,30.2,Option B: 28.5,Hard
1257,Algebra,"Find the result of a * x + b given a = 2, b = 3, x = 3.",18,9,11,4,Option B: 9,Hard
1258,Profit and Loss,What would be the selling price if the cost price is 65 and profit is 6%?,78.28,66.39,71.48,68.9,Option D: 68.9,Hard
1259,"Time, Speed, Distance",115 km distance is covered at 24 km/hr. Determine the time taken.,1.93,4.79,7.78,10.04,Option B: 4.79,Easy
1260,Time and Work,"If A can complete a work in 2 days and B can complete it in 3 days, how many days will they take to complete the work together?",1.2,7.16,-0.79,4.12,Option A: 1.2,Easy
1261,Ratio and Proportion,"If A:B = 5:3 and A is 32, determine the value of B.",19.2,23.73,20.76,17.16,Option A: 19.2,Easy
1262,Numbers,What is the sum of 40 and 50?,95,89,90,97,Option C: 90,Hard
1263,Ratio and Proportion,"If the ratio of A to B is 5:5 and A is 18, what is B?",15.22,23.13,20.22,18.0,Option D: 18.0,Medium
1264,Numbers,Calculate the total of 21 plus 22.,46,52,42,43,Option D: 43,Hard
1265,"Time, Speed, Distance",152 km distance is covered at 30 km/hr. Determine the time taken.,10.88,2.57,5.07,6.36,Option C: 5.07,Hard
1266,Ratio and Proportion,Calculate the value of B if A:B = 1:2 and A = 40.,81.91,78.81,80.0,84.74,Option C: 80.0,Easy
1267,Pipes and Cisterns,"If a tank is filled by a pipe in 1 hours and emptied by another in 4 hours, how long will it take to fill the tank of 45 liters when both pipes are open?",-17.74,-12.02,-10.02,-15.0,Option D: -15.0,Easy
1268,Percentage,Determine the value of 4% of 126.,3.78,11.76,7.02,5.04,Option D: 5.04,Medium
