Serial Number,Topic,Question,Answer
5721,Ratio and Proportion,Determine the original values of a and b if their ratio is 1:10 and their sum is 11.,1:10
5722,Ratio and Proportion,What is the new value of a if the ratio of a to b is 28:21 and b is increased to 55?,38.25
5723,Ratio and Proportion,"Given the ratio 33:5 and a = 48, what is b?",7.2727272727272725
5724,Time and Work,Calculate the time taken if 5 work for 10 days and then 2 complete the remaining work.,14.4
5725,Numbers,Is the difference between 5 and 52 an integer?,Yes
5726,Numbers,Is 6 a perfect square and an integer?,Yes
5727,Pipes and Cisterns,Determine the time required to fill 0.11 of a tank if Pipe A can fill the whole tank in 29 hours and Pipe B in 34 hours.,33.37
5728,Profit and Loss,"If a discount of 11% is given on 1959, and the selling price is 955, find the profit/loss.",Loss of 274
5729,Numbers,Is 22 an integer?,Yes
5730,Percentage,"If a value is 503, what will 69% of it be?",3470700
5731,Time Speed Distance,Calculate the average speed of a car that covers 178 km in 9 hours and 101 km in 1 hours.,27.9
5732,Ratio and Proportion,"For the ratio 13:61, what is the value of b if a = 34?",159.53846153846155
5733,Numbers,Determine if 8 is a prime or composite number.,No
5734,Pipes and Cisterns,"Pipe A fills a tank in 47 hours, Pipe B in 50 hours, and Pipe C empties it in 47 hours. If all three are used for 16 hours, how much of the tank is filled?",0.66
5735,Numbers,Is 31 a natural number and also a prime?,Yes
5736,Numbers,Determine whether the sum of 1 and 79 is a composite number.,Yes
5737,Time Speed Distance,What is the average speed of a car that covers 316 km in 4 hours?,316
5738,Algebra,"For the equation 5x + 8 = -6, calculate x.",-2.8
5739,Ratio and Proportion,"If the ratio of a to b is 52:86, and b = 48, what is the value of a?",29.023255813953487
5740,Time and Work,"If 8 can do a job in 30 days, how long will 4 take if they work twice as fast?",60.0
5741,Numbers,Find the next composite number after 35.,Yes
5742,Algebra,Solve the quadratic equation 7x² + 2x + 9 = 0.,No real roots
5743,Algebra,"For the equation 2x + 10 = 0, find x.",-5.5
5744,Numbers,Is 88 a composite number?,Yes
5745,Ratio and Proportion,"If the ratio of a to b is 65:98, and a = 5, what is the value of b?",7.538461538461538
5746,Percentage,Calculate the percentage decrease when a value drops from 887 to 136.,84.6674182638106
5747,Time and Work,"For a job done by 4 people in 36 days, how many days would one person need?",144
5748,Algebra,"For the equation 5x + -10 = 0, find x.",0.8
5749,Percentage,What percentage of 1268 is 56?,4.416403785488959
5750,Time Speed Distance,"If a vehicle accelerates from 42 km/h to 82 km/h over 4 hours, what is the distance covered in the first 4 hours?",248.0
5751,Ratio and Proportion,Find the value of c if the ratio 88:83 = 4.240963855421687:47 and b = 4.,4.240963855421687
5752,Percentage,"If 1% of 347 is added and then 53% is subtracted, what is the result?",164.7209
5753,Algebra,Solve the linear equation 7x + -9 = -10.,-0.14285714285714285
5754,Profit and Loss,"If a product costs 392 and sells for 238, what is the profit/loss?",Loss of 154
5755,Percentage,What is the final value when 30% of 943 is added to it?,1225.9
5756,Time and Work,"For a job done by 7 people in 10 days, how many days would one person need?",70
5757,Percentage,"If 781 is reduced by 67%, what is the resulting value?",257.73
5758,Profit and Loss,"If a product's marked price is 1062 and it is sold at a discount of 43%, find the profit or loss.",Loss of 386
5759,Numbers,Find the smallest integer greater than 71.,Yes
5760,Average,"If the average of 86, 80, and 37 is 67.66666666666667, what is the total sum?",203.0
5761,Profit and Loss,A product is marked at 1722 and sold at 737. What is the profit or loss?,Loss of 101
5762,Profit and Loss,What is the cost price if a product is sold for 155 at a profit of 29?,Profit of -577
5763,Percentage,A price increased by 4% and then decreased by 66%. Find the final price.,790.4
5764,Algebra,Determine the solution to the equation 10x + -2 = 5.,0.7
5765,Ratio and Proportion,Solve for the ratio 8:18 if a + b = 18 and a = 1.,17
5766,Ratio and Proportion,"If the ratio 95:54 is tripled, what are the new values of a and b?",285:162
5767,Ratio and Proportion,"If a is 3 times b, and the ratio is 87:1, what is the value of a?",3
5768,Average,"If the average of 22, 36, and ? is 1, find the missing number if one is unknown.",-55
5769,Time Speed Distance,"If a vehicle moves at 61 km/h for 2 hours, what is the distance covered?",122
5770,Ratio and Proportion,Solve for the ratio 27:16 if a + b = 17 and a = 11.,6
5771,Percentage,Determine the percentage change from 721 to 423.,-41.33148404993065
5772,Profit and Loss,A product is bought at 111 and sold at a profit of 49.95. What is the selling price?,Profit of 485
5773,Time Speed Distance,What is the average speed of a car that covers 220 km in 5 hours?,220
5774,Average,"If the average of 1, 95, and 20 is 38.666666666666664, and one number is replaced by 5, find the new average.",40.0
5775,Average,"Calculate the geometric mean of the numbers: [2, 6, 7, 4].",4.28
5776,Pipes and Cisterns,"Pipe A can fill a tank in 15 hours, and Pipe B can fill it in 33 hours. How long will it take both pipes to fill the tank together?",10.31
5777,Numbers,Is 37 a composite number?,No
5778,Pipes and Cisterns,"If Pipe A fills a tank in 37 hours and Pipe B can empty it in 40 hours, how long will it take to fill the tank if both are used together?",493.33
5779,Algebra,Find the roots of the equation 2x² + 3x + 3 = 0.,No real roots
5780,Time Speed Distance,Determine the speed required to cover 864 km in 9 hours.,864
5781,Pipes and Cisterns,Determine the time required to fill 0.22 of a tank if Pipe A can fill the whole tank in 43 hours and Pipe B in 27 hours.,29.41
5782,Ratio and Proportion,"Given the ratio 32:22 and a = 10, what is b?",6.875
5783,Average,"Calculate the harmonic mean of the following numbers: [33, 10, 7, 67].",13.88
5784,Numbers,Is 51 a composite number?,Yes
5785,Ratio and Proportion,"If the ratio 2:62 is tripled, what are the new values of a and b?",6:186
5786,Average,Determine the average of the first 5 natural numbers.,41.0
5787,Ratio and Proportion,What is the new value of a if the ratio of a to b is 26:86 and b is increased to 5?,13.23076923076923
5788,Ratio and Proportion,Find the value of c if the ratio 42:49 = 21.428571428571427:20 and b = 25.,21.428571428571427
5789,Time Speed Distance,A vehicle travels at 97 km/h and then slows down to 42 km/h for 1 hours. What is the total distance?,915
5790,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 37.5 km/h for 24 hours.,324
5791,Average,"If the average of 78, 69, and 96 is 81.0, what is the total sum?",243.0
5792,Time and Work,Calculate the total time if 7 work for 6 days and then 21 complete the rest of the work.,8.0
5793,Percentage,"If 539 is 84% more than another value, what is that value?",292.9347826086957
5794,Ratio and Proportion,Determine the ratio of a to b when a = 38 and b = 75.,97.71428571428571
5795,Pipes and Cisterns,"Pipe A can fill a tank in 47 hours, and Pipe B in 31 hours, but Pipe C can empty it in 29 hours. Find the time taken to fill the tank if all three pipes are used.",52.49
5796,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 48 hours, Pipe B in 40 hours, and Pipe C empties it in 14 hours.",21.82
5797,Time and Work,"If 4 persons complete a work in 32 days, how long will it take for 1 person?",128
5798,Profit and Loss,What is the profit if the selling price is 364 and the cost price is 436?,Profit of -72
5799,Algebra,Solve for x in the equation 1x + 10 = -1 when 1 ≠ 0.,-10.0
5800,Pipes and Cisterns,"Given that Pipe A fills a tank in 13 hours and Pipe B in 19 hours, calculate the time taken when both pipes are used together.",7.72
5801,Time Speed Distance,A car covers 186 km at 43 km/h and 190 km at 40 km/h. Find the total time taken.,592
5802,Percentage,"If 22% of a value is 4645, what would 68% of the same value be?",157.13600000000002
5803,Percentage,A price increased by 83% and then decreased by 36%. Find the final price.,704.55
5804,Profit and Loss,"If the cost price of a product is 278 and it is sold after a discount of 21% on the marked price of 1459, calculate the profit/loss.",Loss of 400
5805,Time and Work,"If 3 people can do a job in 25 days, how long will it take if 6 people work?",12.5
5806,Numbers,Is 5 a perfect square and an integer?,Yes
5807,Profit and Loss,A product is bought for 639 and sold at a profit of 28%. Find the selling price.,Profit of -229
5808,Percentage,Find the percentage value of 704 when it is increased by 15%.,809.6
5809,Profit and Loss,"If a product costs 322 and sells for 467, what is the profit/loss?",Loss of 145
5810,Pipes and Cisterns,Determine the time required to fill 0.57 of a tank if Pipe A can fill the whole tank in 16 hours and Pipe B in 32 hours.,20.38
5811,Algebra,Solve the quadratic equation 6x² + 1x + -1 = 0.,"(0.33, -0.5)"
5812,Percentage,"If 73% of 195 is added and then 44% is subtracted, what is the result?",188.91600000000003
5813,Percentage,Calculate the percentage increase from 179 to 467.,160.89385474860336
5814,Average,"Calculate the weighted average if the weights are [1, 4, 3, 7, 2] and the corresponding numbers are [51, 8, 59, 41, 76].",41.12
5815,Average,"If the average of 10, 30, and 5 is 15.0, what is the total sum?",45.0
5816,Algebra,Find the roots of the equation 5x² + 3x + 10 = 0.,No real roots
5817,Time Speed Distance,A car is moving at a speed of 93 km/h for 8 hours. How far does it travel?,744
5818,Average,"Find the mean value if 1 is added to each of the numbers in the set [1, 27, 13, 31, 70].",29.4
5819,Time and Work,10 people can complete a work in 14 days. How many days will 1 person take to complete the same work?,140
5820,Pipes and Cisterns,"Pipes A and B can fill a tank in 45 hours and 16 hours, respectively. How long will it take if both pipes are used?",11.8
5821,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 26 hours, Pipe B in 31 hours, and Pipe C empties it in 31 hours.",14.14
5822,Profit and Loss,What is the loss if the cost price is 995 and the selling price is 786?,Loss of 209
5823,Profit and Loss,"Calculate the profit or loss if a product is bought for 174, marked at 1961, and sold for 777.",Profit of 603
5824,Ratio and Proportion,"If the ratio of a to b is 48:26, and a is increased by 4, what is the new value of b?",45.5
5825,Profit and Loss,What is the cost price if a product is sold for 946 at a profit of 38?,Profit of 731
5826,Algebra,Determine the solution to the equation 3x + -5 = -7.,-0.6666666666666666
5827,Numbers,Is 78 a perfect square and an integer?,Yes
5828,Percentage,"If 339 is reduced by 22%, what is the resulting value?",264.42
5829,Percentage,Calculate 26% of 802 and then subtract it from the original value.,31211.538461538465
5830,Numbers,Is the difference between 39 and 8 an integer?,Yes
5831,Time and Work,Determine the time taken if 21 work twice as fast as 7 to complete the job in 31 days.,10.33
5832,Average,"Determine the mean of the following set of numbers [36, 43, 42, 99, 25] after increasing each by 5.",54.0
5833,Time and Work,"For a job done by 3 people in 19 days, how many days would one person need?",57
5834,Ratio and Proportion,Determine the ratio of a to b when a = 28 and b = 84.,4.780487804878049
5835,Pipes and Cisterns,"Calculate the time taken if Pipe A fills a tank in 33 hours, but Pipe B empties it in 24 hours and both operate for 2 hours.",0.17
5836,Time and Work,"If 6 can do a job in 41 days, how long will 3 take if they work twice as fast?",82.0
5837,Percentage,"If the original price is 937, what is 67% discount?",309.2099999999999
5838,Algebra,Determine the solution to the equation 6x + 4 = 3.,-0.16666666666666666
5839,Ratio and Proportion,Determine the ratio of a to b when a = 33 and b = 48.,94.1470588235294
5840,Average,"What is the average of the cubes of these numbers: [3, 3, 3, 1]?",20.5
5841,Time and Work,5 people finish a task in 33 days. How long will 1 person take?,165
5842,Ratio and Proportion,"If the ratio 7:2 is tripled, what are the new values of a and b?",21:6
5843,Ratio and Proportion,Find the new ratio if a and b are multiplied by 5 and 5 respectively.,465:150
5844,Time and Work,Calculate the time taken if 5 work for 11 days and then 2 complete the remaining work.,15.4
5845,Algebra,"For the equation 1x + 1 = -6, calculate x.",-7.0
5846,Numbers,Find the smallest integer greater than 3.,Yes
5847,Profit and Loss,"If a product is sold at a loss of 33%, what was its cost price if the selling price is 614?",Loss of 433
5848,Pipes and Cisterns,"Pipe A can fill 0.42 of a tank in 11 hours, and Pipe B can fill the remaining 0.58 in 41 hours. How long will it take to fill the tank?",19.11
5849,Pipes and Cisterns,"If Pipe A can fill a tank in 33 hours, and Pipe B can empty it in 11 hours, find the time required to fill the tank if both are used together for 23 hours.",-1.39
5850,Time and Work,Calculate the time taken if 6 work for 19 days and then 3 complete the remaining work.,29.0
5851,Ratio and Proportion,Determine the original values of a and b if their ratio is 7:12 and their sum is 19.,7:12
5852,Ratio and Proportion,Solve for the ratio 3:63 if a + b = 15 and a = 3.,12
5853,Time Speed Distance,Calculate the average speed of a car that covers 152 km in 10 hours and 159 km in 5 hours.,20.73
5854,Ratio and Proportion,"If the ratio 8:12 is equivalent to the ratio 3:82, find the value of b given a = 24.",4.5
5855,Average,Determine the average of the first 8 natural numbers.,33.0
5856,Numbers,Is 21 a composite number?,Yes
5857,Numbers,Determine whether the sum of 93 and 31 is a composite number.,No
5858,Time and Work,Calculate the time taken if 3 work for 5 days and then 1 complete the remaining work.,7.0
5859,Average,"Calculate the average of the reciprocals of the numbers: [4, 9, 10, 5].",6.05
5860,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 17 hours, and Pipe B in 11 hours, but Pipe C empties it in 21 hours, and all three are used for 22 hours.",3.29
5861,Time Speed Distance,A car drives for 7 hours at 22 km/h. Calculate the distance traveled.,154
5862,Percentage,Find the percentage value of 556 when it is increased by 99%.,1106.44
5863,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 7:4, and the sum of a and b is 11.",7
5864,Ratio and Proportion,"Solve for b in the ratio 25:54, when a = 40.",86.4
5865,Time Speed Distance,A car drives for 2 hours at 88 km/h. Calculate the distance traveled.,176
5866,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 2:13, and the sum of a and b is 15.",2
5867,Average,"What is the average of the cubes of these numbers: [4, 4, 1, 3]?",39.0
5868,Algebra,Solve for x: 10x = 6.,-0.6
5869,Time and Work,"If 9 people can do a job in 26 days, how long will it take if 18 people work?",13.0
5870,Numbers,Is 51 a composite number?,Yes
5871,Percentage,Calculate 48% of 624.,2995200
5872,Percentage,"If 72% of a number is 4037, what is the number?",5606.944444444444
5873,Average,"If the sum of [28, 62, 10, 75, 97] is 272, what is the average?",54.4
5874,Time and Work,"If 5 can do a job in 38 days, how long will 2 take if they work twice as fast?",95.0
5875,Profit and Loss,A product was bought for 210 and sold for 782. Calculate profit or loss.,Profit of 572
5876,Algebra,Determine the value of x if 8x + -10 = -6.,0.5
5877,Pipes and Cisterns,"Calculate the time taken if Pipe A fills a tank in 50 hours, but Pipe B empties it in 36 hours and both operate for 15 hours.",0.78
5878,Profit and Loss,A product is bought at 191 and sold at a profit of 38.2. What is the selling price?,Profit of 788
5879,Percentage,A price increased by 59% and then decreased by 52%. Find the final price.,171.72
5880,Algebra,Find the roots of the equation 9x² + 5x + -2 = 0.,"(0.27, -0.82)"
5881,Time and Work,Calculate the time taken if 6 work for 16 days and then 3 complete the remaining work.,24.5
5882,Ratio and Proportion,"Given the ratio 66:84 and b = 29, find the value of a.",92.9090909090909
5883,Ratio and Proportion,"For the ratio 39:45, what is the value of b if a = 69?",79.61538461538461
5884,Average,"Find the average of [83, 81, 60, 81, 50] after removing the highest and lowest values.",74.0
5885,Time and Work,How long will it take for 4 to complete the same work done by 9 in 43 days?,96.75
5886,Profit and Loss,"The cost price of a product is 856, and it is sold at 578. Find the profit or loss percentage.",-32.48%
5887,Average,"Calculate the average for the numbers: [62, 29, 40, 60, 49]",48.0
5888,Pipes and Cisterns,"If Pipe A fills a tank in 16 hours and Pipe B can empty it in 25 hours, how long will it take to fill the tank if both are used together?",44.44
5889,Ratio and Proportion,What is the new value of a if the ratio of a to b is 65:37 and b is increased to 70?,7.4
5890,Percentage,A price increased by 4% and then decreased by 52%. Find the final price.,692.64
5891,Numbers,Determine whether the sum of 86 and 28 is a composite number.,Yes
5892,Numbers,Find the smallest integer greater than 79.,Yes
5893,Average,"If the average of 18, 58, and ? is 41, find the missing number if one is unknown.",47
5894,Profit and Loss,"The cost price of a product is 324, and it is sold at 545. Find the profit or loss percentage.",68.21%
5895,Time Speed Distance,Determine the speed required to cover 756 km in 9 hours.,756
5896,Time Speed Distance,Determine the distance covered by a train traveling at 48 km/h for 9 hours.,432
5897,Profit and Loss,Calculate the profit/loss percentage when a product is sold for 382 after buying it for 256.,Loss of 126
5898,Numbers,Is 84 an integer?,Yes
5899,Algebra,Solve for x: 6x = -9.,1.5
5900,Time Speed Distance,Calculate the average speed of a car that covers 123 km in 2 hours and 127 km in 7 hours.,27.78
5901,Profit and Loss,"The cost price of a product is 393, and it is sold at 146. Find the profit or loss percentage.",-62.85%
5902,Time and Work,"If 5 people can do a job in 24 days, how long will it take if 10 people work?",12.0
5903,Numbers,Is 60 a composite number?,Yes
5904,Time Speed Distance,"At a speed of 34 km/h, how far will a car travel in 1 hours?",34
5905,Ratio and Proportion,"If the ratio 21:62 is tripled, what are the new values of a and b?",63:186
5906,Percentage,"If 668 is 19% more than another value, what is that value?",561.344537815126
5907,Average,"Calculate the average for the numbers: [45, 89, 77, 93, 82]",77.2
5908,Percentage,"If 84% of 886 is added and then 75% is subtracted, what is the result?",407.55999999999995
5909,Time Speed Distance,A car is moving at a speed of 80 km/h for 3 hours. How far does it travel?,240
5910,Profit and Loss,"If the cost price is 170 and the loss percentage is 21%, what is the selling price?",Loss of 152
5911,Average,"Calculate the harmonic mean of the following numbers: [25, 68, 24, 12].",22.26
5912,Time and Work,"If 5 people can do 0.5 of a job in 17 days, how long will 2 take to do the entire job?",42.5
5913,Percentage,"If 56% of a number is 4567, what is the number?",8155.357142857143
5914,Profit and Loss,"If a product costs 507 and sells for 315, what is the profit/loss?",Loss of 192
5915,Time and Work,"If 2 people can do a job in 44 days, how long will it take if 4 people work?",22.0
5916,Time Speed Distance,Determine the speed required to cover 272 km in 4 hours.,272
5917,Pipes and Cisterns,"Pipe A can fill a tank in 29 hours, and Pipe B in 12 hours, but Pipe C can empty it in 18 hours. Find the time taken to fill the tank if all three pipes are used.",16.06
5918,Time and Work,Determine the time taken if 21 work twice as fast as 7 to complete the job in 27 days.,9.0
5919,Time and Work,"If 8 people complete a task in 22 days, how long will it take if 24 people are involved?",7.33
5920,Average,"Find the average of the following numbers: [2, 39, 36, 68, 93]",47.6
5921,Percentage,"If 891 is 18% more than another value, what is that value?",755.0847457627119
5922,Average,"Calculate the average of the reciprocals of the numbers: [4, 4, 2, 8].",3.56
5923,Average,"Calculate the geometric mean of the numbers: [7, 7, 7, 8].",7.24
5924,Pipes and Cisterns,"Calculate the time required to fill a tank if Pipe A fills it in 29 hours, Pipe B fills it in 11 hours, and Pipe C empties it in 17 hours.",7.98
5925,Average,"Find the average of the following numbers: [80, 2, 70, 74, 71]",59.4
5926,Time Speed Distance,A vehicle travels at 28 km/h and then slows down to 65 km/h for 2 hours. What is the total distance?,270
5927,Algebra,Solve for x: 3x = 9.,-3.0
5928,Ratio and Proportion,"Solve for b in the ratio 45:98, when a = 59.",128.48888888888888
5929,Algebra,Solve the quadratic equation 8x² + 4x + 8 = 0.,No real roots
5930,Pipes and Cisterns,Determine the time required to fill 0.87 of a tank if Pipe A can fill the whole tank in 22 hours and Pipe B in 41 hours.,23.41
5931,Percentage,"If 54% of a number is 5611, what is the number?",10390.74074074074
5932,Algebra,Find the roots of the equation 10x² + 6x + -4 = 0.,"(0.4, -1.0)"
5933,Pipes and Cisterns,"Given that Pipe A fills a tank in 41 hours and Pipe B in 31 hours, calculate the time taken when both pipes are used together.",17.65
5934,Ratio and Proportion,"Solve for b in the ratio 98:55, when a = 31.",17.397959183673468
5935,Time Speed Distance,"If a train covers 910 km at 91 km/h and then reduces speed by 23 km/h for the remaining journey, what is the total time taken?",910
5936,Numbers,Can 48 be both a prime and a composite number?,No
5937,Pipes and Cisterns,"Calculate the time required to fill a tank if Pipe A fills it in 46 hours, Pipe B fills it in 42 hours, and Pipe C empties it in 11 hours.",21.95
5938,Percentage,"If 54% of 639 is added and then 38% is subtracted, what is the result?",610.1172
5939,Pipes and Cisterns,"Pipes A and B can fill a tank in 36 hours and 32 hours, respectively. How long will it take if both pipes are used?",16.94
5940,Average,"Calculate the geometric mean of the numbers: [8, 8, 5, 7].",6.88
5941,Ratio and Proportion,"If a is 3 times b, and the ratio is 27:34, what is the value of a?",102
5942,Percentage,Find the original value if 45% of it equals 2058.,4573.333333333333
5943,Profit and Loss,"If the cost price is 802 and the loss percentage is 41%, what is the selling price?",Loss of 632
5944,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 17.705882352941178 km/h for 20 hours.,224
5945,Ratio and Proportion,Find the value of c if the ratio 43:7 = 460.7142857142857:32 and b = 75.,460.7142857142857
5946,Pipes and Cisterns,"If Pipe A fills a tank in 25 hours and Pipe B can empty it in 12 hours, how long will it take to fill the tank if both are used together?",-23.08
5947,Profit and Loss,"The cost price of a product is 542, and it is sold at 162. Find the profit or loss percentage.",-70.11%
5948,Profit and Loss,A product is bought for 420 and sold at a profit of 28%. Find the selling price.,Profit of 578
5949,Pipes and Cisterns,"Pipe A fills a tank in 38 hours, Pipe B in 32 hours, and Pipe C empties it in 33 hours. If all three are used for 21 hours, how much of the tank is filled?",1.21
5950,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 4:8, and the sum of a and b is 12.",4
5951,Profit and Loss,"If the cost price of a product is 459 and it is sold after a discount of 18% on the marked price of 1126, calculate the profit/loss.",Loss of 345
5952,Algebra,"If 9x + 10 = 7, find the value of x.",-0.3333333333333333
5953,Time and Work,"For a job done by 2 people in 32 days, how many days would one person need?",64
5954,Numbers,Can 32 be both a prime and a composite number?,No
5955,Time Speed Distance,A car is moving at a speed of 79 km/h for 5 hours. How far does it travel?,395
5956,Profit and Loss,What is the profit/loss percentage if the cost price is 616 and the selling price is 678?,Loss of 62
5957,Profit and Loss,What is the profit/loss percentage if the cost price is 644 and the selling price is 519?,Loss of 125
5958,Algebra,Find the solution to the equation 10x² + 8x + 5 = 0.,No real roots
5959,Ratio and Proportion,"If the ratio 25:26 is tripled, what are the new values of a and b?",75:78
5960,Algebra,"If 9x + 10 = -3, what is the value of x?",-1.4444444444444444
5961,Profit and Loss,What is the cost price if a product is sold for 975 at a profit of 32?,Profit of 682
5962,Time Speed Distance,How far will a car travel if it goes at 90 km/h for 1 hours?,90
5963,Average,"Calculate the weighted average if the weights are [2, 6, 2, 4, 1] and the corresponding numbers are [62, 24, 32, 71, 72].",45.87
5964,Profit and Loss,"If a product is sold at a loss of 16%, what was its cost price if the selling price is 890?",Loss of 412
5965,Pipes and Cisterns,"If Pipe A can fill a tank in 42 hours, and Pipe B in 42 hours, but Pipe C empties 0.59 of the tank in 15 hours, find the time to fill the tank.",42.0
5966,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 5:6, and the sum of a and b is 11.",5
5967,Numbers,Is the product of 46 and 8 a composite number?,Yes
5968,Average,"Find the average of the following numbers, excluding the largest and smallest: [55, 9, 7, 50, 63].",36.8
5969,Pipes and Cisterns,Determine the time required to fill 0.36 of a tank if Pipe A can fill the whole tank in 23 hours and Pipe B in 46 hours.,33.82
5970,Ratio and Proportion,"If the ratio of a to b is 95:99, and b = 72, what is the value of a?",69.0909090909091
5971,Time Speed Distance,"If a car accelerates from 46 km/h to 131 km/h in 5 hours, what is the total distance covered?",355
5972,Time Speed Distance,"At a speed of 34 km/h, how far will a car travel in 9 hours?",306
5973,Time Speed Distance,Calculate the average speed of a car that covers 54 km in 8 hours and 85 km in 6 hours.,9.93
5974,Numbers,Is the number 15 divisible by any number other than 1 and itself?,No
5975,Time Speed Distance,Determine the distance covered by a train traveling at 77 km/h for 5 hours.,385
5976,Average,"Determine the mean of the following set of numbers [98, 87, 3, 16, 73] after increasing each by 3.",58.4
5977,Profit and Loss,"If a discount of 37% is given on 1029, and the selling price is 261, find the profit/loss.",Loss of 644
5978,Algebra,Solve for x: 8x + -7 = 0,0.875
5979,Pipes and Cisterns,"If Pipe A can fill a tank in 10 hours, and Pipe B can empty it in 15 hours, find the time required to fill the tank if both are used together for 3 hours.",0.1
5980,Algebra,"If 5x + -7 = -9, what is the value of x?",-0.4
5981,Average,"Find the average of the following numbers, excluding the largest and smallest: [15, 83, 27, 48, 99].",54.4
5982,Time and Work,"For a job done by 6 people in 19 days, how many days would one person need?",114
5983,Ratio and Proportion,"Given the ratio 17:72 and a = 99, what is b?",419.29411764705884
5984,Average,"Calculate the harmonic mean of the following numbers: [28, 68, 88, 36].",44.66
5985,Time and Work,"If 4 can complete a job in 26 days, what fraction of the job can 104 complete in one day?",6.5
5986,Average,"Determine the mean value of these numbers: [59, 63, 58, 22, 78]",56.0
5987,Time Speed Distance,Calculate the total distance if a car travels for 5 hours at a constant speed of 73 km/h.,365
5988,Profit and Loss,A product is sold at a profit percentage of 50 after buying it at 489. What is the selling price?,Profit of -66
5989,Time Speed Distance,Calculate the time taken to travel 368 km at a speed of 46 km/h.,8.0
5990,Numbers,Is 80 an integer?,Yes
5991,Time Speed Distance,Calculate the time taken to travel 81 km at a speed of 81 km/h.,1.0
5992,Percentage,Determine the percentage change from 383 to 106.,-72.32375979112271
5993,Algebra,Determine the roots of the quadratic equation 10x² + 6x + -1 = 0.,"(0.14, -0.74)"
5994,Average,"Calculate the average for the numbers: [7, 66, 84, 49, 27]",46.6
5995,Profit and Loss,"If the cost price of a product is 106 and it is sold after a discount of 40% on the marked price of 1704, calculate the profit/loss.",Loss of 720
5996,Profit and Loss,What is the profit/loss percentage if the cost price is 300 and the selling price is 187?,Loss of 113
5997,Average,"What is the average of the cubes of these numbers: [5, 3, 1, 4]?",54.25
5998,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 42 hours, but Pipe B empties it in 47 hours, and both are used simultaneously?",22.18
5999,Average,"Calculate the average of the reciprocals of the numbers: [6, 8, 3, 6].",5.05
6000,Time and Work,"If 3 can do a job in 11 days, how long will 1 take if they work twice as fast?",33.0
6001,Average,"Find the average of the following numbers: [30, 71, 81, 13, 75]",54.0
6002,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 15 and 25 hours, respectively?",9.38
6003,Percentage,Find the original value if 16% of it equals 2191.,13693.75
6004,Pipes and Cisterns,"Pipe A can fill 0.16 of a tank in 42 hours, and Pipe B can fill the remaining 0.84 in 37 hours. How long will it take to fill the tank?",37.72
6005,Time Speed Distance,"If a train covers 335 km at 67 km/h and then reduces speed by 22 km/h for the remaining journey, what is the total time taken?",335
6006,Numbers,Find the smallest integer greater than 62.,Yes
6007,Time and Work,"If 10 people complete a task in 43 days, how long will it take if 30 people are involved?",14.33
6008,Pipes and Cisterns,"Calculate the time taken if Pipe A fills a tank in 29 hours, but Pipe B empties it in 46 hours and both operate for 14 hours.",0.82
6009,Average,"If the sum of [32, 21, 92, 55, 45] is 245, what is the average?",49.0
6010,Average,"Calculate the average of the reciprocals of the numbers: [4, 6, 4, 9].",5.14
6011,Ratio and Proportion,"If the ratio 3:61 is tripled, what are the new values of a and b?",9:183
6012,Percentage,Calculate 41% of 529.,2168900
6013,Numbers,What is the next integer after 52?,Yes
6014,Average,"Calculate the average for the numbers: [14, 83, 86, 45, 99]",65.4
6015,Algebra,Find the value of x if 8x + 3 = 0.,-0.375
6016,Algebra,Find the value of x if 6x + 0 = 0.,0.0
6017,Ratio and Proportion,"If a = 31, what is the ratio of a to b when b = 14?",28.213483146067414
6018,Time and Work,"For a job done by 7 people in 42 days, how many days would one person need?",294
6019,Average,"What is the average of the square of these numbers: [2, 8, 7, 5, 8]?",41.2
6020,Time Speed Distance,Calculate the time taken to travel 216 km at a speed of 24 km/h.,9.0
6021,Profit and Loss,"If a product costs 406 and sells for 391, what is the profit/loss?",Loss of 15
6022,Profit and Loss,A product is bought at 858 and sold at a profit of 334.62. What is the selling price?,Profit of -382
6023,Time Speed Distance,"If a train covers 98 km at 98 km/h and then reduces speed by 31 km/h for the remaining journey, what is the total time taken?",98
6024,Profit and Loss,"The cost price of a product is 945, and it is sold at 452. Find the profit or loss percentage.",-52.17%
6025,Numbers,Is the product of 97 and 33 a composite number?,Yes
6026,Numbers,Is 45 a prime number?,No
6027,Time and Work,"If 10 can complete a job in 27 days, what fraction of the job can 270 complete in one day?",2.7
6028,Algebra,Determine the solution to the equation 10x + -7 = 1.,0.8
6029,Time and Work,"If 3 can complete a job in 10 days, what fraction of the job can 30 complete in one day?",3.33
6030,Time and Work,How long will it take for 4 to complete the same work done by 9 in 46 days?,103.5
